"name","sub","size"
"1901 GROUP LLC","Access Board",454501.2
"FEITH SYSTEMS AND SOFTWARE INC","Access Board",295484
"STARS II PARTNERSHIP JOINT VENTURE LLC","Access Board",289607.54
"BNF TECHNOLOGIES INC","Access Board",203980.4
"DEVELOPMENT INFOSTRUCTURE","Access Board",162544.76
"3LINKS TECHNOLOGIES INC","Access Board",148177.23
"MANCOM INC","Access Board",114700
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Access Board",100000
"UNIVERSITY OF ILLINOIS","Access Board",89727.84
"FEDERAL PRISON INDUSTRIES INC","Access Board",87146.3
"HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC","Administrative Conference of the U.S.",107320
"AMPLIA GROUP LLC","Administrative Conference of the U.S.",63000
"AGILEANA LC","Administrative Conference of the U.S.",46500
"PREMIERE PAINTING INC","Administrative Conference of the U.S.",41248
"DATAPRISE INC","Administrative Conference of the U.S.",30000
"ROCHA & COMPANY PC","Administrative Conference of the U.S.",22000
"FEDRESULTS INC","Administrative Conference of the U.S.",13731
"RELX INC","Administrative Conference of the U.S.",8892
"ONLINE VIDEO SERVICE INC","Administrative Conference of the U.S.",5800
"GOVPREDICT INC","Administrative Conference of the U.S.",4200
"JR TRI-STATE GENERAL CONTRACTING GROUP INC","Administrative Office of the U.S. Courts",954525.34
"HOUSER WALKER ARCHITECTURE LLC","Administrative Office of the U.S. Courts",898209.47
"MCQ CONSTRUCTION SERVICES INC","Administrative Office of the U.S. Courts",698129.94
"ROCKY MOUNTAIN EXCAVATING INC","Administrative Office of the U.S. Courts",697035.41
"PATRIOT CONSTRUCTION INC","Administrative Office of the U.S. Courts",648134
"VELIZ COMPANY LLC","Administrative Office of the U.S. Courts",599834.61
"WILSON GROUP INC THE","Administrative Office of the U.S. Courts",557235.6
"MANIILAQ SERVICES LLC","Administrative Office of the U.S. Courts",553170.34
"ARNOLD ELECTRIC INC","Administrative Office of the U.S. Courts",541477.29
