"name","value"
"Administration of Justice",73835078501.62
"Agriculture",17576717164.85
"Education, Training, Employment, and Social Services",174612599664.76
"Energy, Science, Space, and Technology",50148975577.77
"General Government",407874831956.27
"Health",658857532067.64
"Income Security",477752291043.76
"International Affairs",64075623816.21
"Medicare",1046629647350.25
"National Defense",36112941016.68
"Natural Resources and Environment",48355433074.27
"Net Interest",470678363126.32
"Regional Development, Commerce, and Housing",94867783593.05
"Social Security",996372134632.39
"Transportation",110328716272.43
"Veterans Benefits and Services",192099594186.56
"Acquisition of Assets",33476460331.78
"Advisory, R&D, Medical, and Other Contracts",307466974734.41
"Grants, Subsidies, and Contributions",1673886228344.19
"Insurance Claims and Indemnities",1983592991209.81
"Interest and Dividends",470342737286.51
"Other",-206760075286.11
"Personnel Compensation and Benefits",269413311827.27
"Printing and Supplies",39943538972.66
"Refunds",312191809404.45
"Rent, Communications, and Utilities",27123002644.71
"Travel and Transportation",9501283575.15
